artist,album,rating,review_link,info_link
Spiritualized,And Nothing Hurt,70,https://www.youtube.com/watch?v=GN5tigKpQ9M,https://www.albumoftheyear.org/album/113598-spiritualized-and-nothing-hurt.php
Hozier,Nina Cried Power,60,https://www.youtube.com/watch?v=gg0jnJwce3w,https://www.albumoftheyear.org/album/120809-hozier-nina-cried-power.php
Yves Tumor,Safe in the Hands of Love,70,https://www.youtube.com/watch?v=i4BoYm405Zk,https://www.albumoftheyear.org/album/120717-yves-tumor-safe-in-the-hands-of-love.php
Thou,Magus,60,https://www.youtube.com/watch?v=idIoNJQGrAg,https://www.albumoftheyear.org/album/112660-thou-magus.php
Eminem,Kamikaze,40,https://www.youtube.com/watch?v=J34qpusEXK4,https://www.albumoftheyear.org/album/120258-eminem-kamikaze.php
Idles,Joy as an Act of Resistance,90,https://www.youtube.com/watch?v=4i2PpkVGQNQ,https://www.albumoftheyear.org/album/113593-idles-joy-as-an-act-of-resistance.php
Armand Hammer,Paraffin,80,https://www.youtube.com/watch?v=PBAuMgx3uwk,https://www.albumoftheyear.org/album/120260-armand-hammer-paraffin.php
Interpol,Marauder,40,https://www.youtube.com/watch?v=gJltJ5WeGvA,https://www.albumoftheyear.org/album/113234-interpol-marauder.php
Blood Orange,Negro Swan,80,https://www.youtube.com/watch?v=KMc_N5ziha0,https://www.albumoftheyear.org/album/116573-blood-orange-negro-swan.php
Hermit and the Recluse,Orpheus vs. the Sirens,80,https://www.youtube.com/watch?v=5wzAij917v4,https://www.albumoftheyear.org/album/118193-hermit-and-the-recluse-orpheus-vs-the-sirens.php
Ariana Grande,Sweetener,70,https://www.youtube.com/watch?v=OxeoGczp0Qg,https://www.albumoftheyear.org/album/109690-ariana-grande-sweetener.php
Oh Sees,Smote Reverser,60,https://www.youtube.com/watch?v=N0VWqq5BPlc,https://www.albumoftheyear.org/album/111518-thee-oh-sees-smote-reverser.php
George Clanton,Slide,70,https://www.youtube.com/watch?v=-2Neevd-Low,https://www.albumoftheyear.org/album/118963-george-clanton-slide.php
Mitski,Be the Cowboy,60,https://www.youtube.com/watch?v=Rok6VEyNoFU,https://www.albumoftheyear.org/album/110881-mitski-be-the-cowboy.php
Young Thug & Young Stoner Life,Slime Language,50,https://www.youtube.com/watch?v=7Z65GoMcY04,https://www.albumoftheyear.org/album/118943-young-thug-young-stoner-life-slime-language.php
Nicki Minaj,Queen,50,https://www.youtube.com/watch?v=knKmh_wfOOQ,https://www.albumoftheyear.org/album/110330-nicki-minaj-queen.php
Louis Cole,Time,80,https://www.youtube.com/watch?v=BEDSulIgCQc,https://www.albumoftheyear.org/album/116120-louis-cole-time.php
Trippie Redd,Life's A Trip,50,https://www.youtube.com/watch?v=WgSPTczwVbQ,https://www.albumoftheyear.org/album/117967-trippie-redd-lifes-a-trip.php
Iglooghost,Clear Tamei,80,https://www.youtube.com/watch?v=nFM1sCBx9do,https://www.albumoftheyear.org/album/114839-iglooghost-clear-tamei.php
Iglooghost,Steel Mogu,70,https://www.youtube.com/watch?v=nFM1sCBx9do,https://www.albumoftheyear.org/album/114814-iglooghost-steel-mogu.php
YG,STAY DANGEROUS,50,https://www.youtube.com/watch?v=HCF5ZNTsce4,https://www.albumoftheyear.org/album/109710-yg-stay-dangerous.php
Travis Scott,ASTROWORLD,70,https://www.youtube.com/watch?v=t4RjOz8dKro,https://www.albumoftheyear.org/album/109813-travis-scott-astroworld.php
Mac Miller,Swimming,30,https://www.youtube.com/watch?v=UgwPxFUUg94,https://www.albumoftheyear.org/album/116105-mac-miller-swimming.php
Denzel Curry,TA13OO,80,https://www.youtube.com/watch?v=nDZqxWjRLCU,https://www.albumoftheyear.org/album/116026-denzel-curry-ta13oo.php
Okonkolo,Cantos,70,https://www.youtube.com/watch?v=UoAAk3tRb-g,https://www.albumoftheyear.org/album/120993-okonkolo-cantos.php
88rising,Head In The Clouds,50,https://www.youtube.com/watch?v=fCL9gKzQrz4,https://www.albumoftheyear.org/album/116648-88rising-head-in-the-clouds.php
The Internet,Hive Mind,70,https://www.youtube.com/watch?v=O3GBsa1-dKs,https://www.albumoftheyear.org/album/111162-the-internet-hive-mind.php
Imperial Triumphant,Vile Luxury,80,https://www.youtube.com/watch?v=IX5QmxD9kVE,https://www.albumoftheyear.org/album/115072-imperial-triumphant-vile-luxury.php
Dirty Projectors,Lamp Lit Prose,60,https://www.youtube.com/watch?v=gmGaEVWYiJo,https://www.albumoftheyear.org/album/108320-dirty-projectors-lamp-lit-prose.php
Deafheaven,Ordinary Corrupt Human Love,50,https://www.youtube.com/watch?v=pAmg0NYX0GI,https://www.albumoftheyear.org/album/108270-deafheaven-ordinary-corrupt-human-love.php
HMLTD,Hate Music Last Time Delete,80,https://www.youtube.com/watch?v=Wo4tybjxZa8,https://www.albumoftheyear.org/album/115847-hmltd-hate-music-last-time-delete.php
Florence + The Machine,High as Hope,70,https://www.youtube.com/watch?v=RIf2tJqrGXI,https://www.albumoftheyear.org/album/109820-florence-the-machine-high-as-hope.php
Let's Eat Grandma,I'm All Ears,70,https://www.youtube.com/watch?v=rTb8Kcs89mk,https://www.albumoftheyear.org/album/105604-lets-eat-grandma-im-all-ears.php
Gorillaz,The Now Now,60,https://www.youtube.com/watch?v=DPHYLnhPRqw,https://www.albumoftheyear.org/album/112012-gorillaz-the-now-now.php
Drake,Scorpion,40,https://www.youtube.com/watch?v=ljtIQkFRL1g,https://www.albumoftheyear.org/album/108155-drake-scorpion.php
Teyana Taylor,K.T.S.E.,60,https://www.youtube.com/watch?v=aRSdeuF9qiE,https://www.albumoftheyear.org/album/114497-teyana-taylor-ktse.php
Nine Inch Nails,Bad Witch,70,https://www.youtube.com/watch?v=5mifHOOfcE8,https://www.albumoftheyear.org/album/110568-nine-inch-nails-bad-witch.php
Death Grips,Year of the Snitch,90,https://www.youtube.com/watch?v=ynCFF7DWHmI,https://www.albumoftheyear.org/album/105688-death-grips-year-of-the-snitch.php
Kamasi Washington,Heaven and Earth,60,https://www.youtube.com/watch?v=yP6b02-qSlA,https://www.albumoftheyear.org/album/107514-kamasi-washington-heaven-and-earth.php
Vein.fm,Errorzone,60,https://www.youtube.com/watch?reload=9&v=w7PFQHSOmLY,https://www.albumoftheyear.org/album/114187-vein-errorzone.php
The Carters,EVERYTHING IS LOVE,50,https://www.youtube.com/watch?v=GXcTZuZbiOE,https://www.albumoftheyear.org/album/113954-the-carters-everything-is-love.php
SOPHIE,OIL OF EVERY PEARL'S UN-INSIDES,80,https://www.youtube.com/watch?v=XyB3yOo81cU,https://www.albumoftheyear.org/album/113120-sophie-oil-of-every-pearls-un-insides.php
Rico Nasty,Nasty,60,https://www.youtube.com/watch?v=t7-aROT2eqo,https://www.albumoftheyear.org/album/113881-rico-nasty-nasty.php
Onyx Collective,Lower East Suite Part Three,70,https://www.youtube.com/watch?v=ztTCkWZ1qko,https://www.albumoftheyear.org/album/113838-onyx-collective-lower-east-suite-part-three.php
Nas,"NASIR",60,https://www.youtube.com/watch?v=_LEQYT-ffsM&,https://www.albumoftheyear.org/album/113829-nas-nasir.php
Jay Rock,Redemption,40,https://www.youtube.com/watch?v=67l6E8PVoFI,https://www.albumoftheyear.org/album/111502-jay-rock-redemption.php
Melody's Echo Chamber,Bon Voyage,70,https://www.youtube.com/watch?v=gKPkQv_aLzY,https://www.albumoftheyear.org/album/76708-melodys-echo-chamber-bon-voyage.php
serpentwithfeet,soil,70,https://www.youtube.com/watch?v=rBfnUffVx-8,https://www.albumoftheyear.org/album/104406-serpentwithfeet-soil.php
Snail Mail,Lush,60,https://www.youtube.com/watch?v=OWDogwWqb_A,https://www.albumoftheyear.org/album/105612-snail-mail-lush.php
Zeal and Ardor,Stranger Fruit,80,https://www.youtube.com/watch?v=provbgYpk5o,https://www.albumoftheyear.org/album/109389-zeal-and-ardor-stranger-fruit.php
Busdriver,Electricity Is On Our Side,50,https://www.youtube.com/watch?v=exmYWItj-YY,https://www.albumoftheyear.org/album/113302-busdriver-electricity-is-on-our-side.php
Kids See Ghosts,KIDS SEE GHOSTS,100,https://www.youtube.com/watch?v=9rkFbKVownA,https://www.albumoftheyear.org/album/108509-kids-see-ghosts-kids-see-ghosts.php
Black Thought,"Streams of Thought, Vol. 1",80,https://www.youtube.com/watch?v=kXkSqBW2wTs,https://www.albumoftheyear.org/album/112710-black-thought-streams-of-thought-vol-1.php
LUMP,LUMP,70,https://www.youtube.com/watch?v=uOLb73_zgVg,https://www.albumoftheyear.org/album/109498-lump-lump.php
Father John Misty,God's Favorite Customer,70,https://www.youtube.com/watch?v=34oyVszwnJk,https://www.albumoftheyear.org/album/108218-father-john-misty-gods-favorite-customer.php
Oneohtrix Point Never,Age Of,60,https://www.youtube.com/watch?v=CV1Ybh8v21k,https://www.albumoftheyear.org/album/107010-oneohtrix-point-never-age-of.php
Kanye West,ye,80,https://www.youtube.com/watch?v=ixElcxn6PlQ,https://www.albumoftheyear.org/album/112577-kanye-west-ye.php
Ghost,Prequelle,80,https://www.youtube.com/watch?v=-L2Xv5-EmUo,https://www.albumoftheyear.org/album/107873-ghost-prequelle.php
Tierra Whack,Whack World,70,https://www.youtube.com/watch?v=DbKWD0CYuX0&feature=push-u-sub&attr_tag=XxDjZDQf9fLkeMav-6,https://www.albumoftheyear.org/album/112648-tierra-whack-whack-world.php
